Name,student_id,gender,program,gpa,previous_results,course_information,module_credits,ca_weight,final_exam_weight,ca_marks,final_exam_marks,total_marks,final_grade,lecture_attendance,attendance_percentage,assignment_marks,exam_results,quiz_scores,submission_status,login_frequency,time_spent_lms,resources_accessed,forum_chat_activity,course_start_date,click_count,assessment_date,assessment_type,assessment_score,assessment_max_score,Predicted_Risk_Level,Learning_Style,assignment_due_date,assignment_submission_date,sessions_attended,total_sessions_held,click_timestamp,module_id,pass_fail_status,assignment_max_marks,Non_Engaged_Modules
Malini Vithanage,ST1032,Female,ITM,3.52,Average,Software Engineering,3,30,70,23.2,23.0,46.2,C,29,97.6,23.2,32.8,31,On-time,16,34,42,12,6/04/2025 0:00,223,14/06/2025 0:00,Midterm,43,50,Medium Risk,Passive Learner,1/06/2025 0:00,31/05/2025 0:00,21,26,14/06/2025 13:20,MOD-IN2201,Pass,30,Agile & Scrum
Jayantha Sivarajah,ST1033,Male,IT,2.76,Weak,Software Engineering,3,30,70,20.8,27.0,47.8,C,17,55.9,20.8,38.6,34,Late,25,33,28,11,6/04/2025 0:00,437,23/06/2025 0:00,Final Exam,12,50,Medium Risk,Moderate Learner,4/06/2025 0:00,3/06/2025 0:00,7,30,23/06/2025 12:20,MOD-IN2201,Pass,30,UI/UX Design
Rajeev Gamlath,ST1034,Male,IT,2.16,Average,Software Engineering,3,30,70,17.7,44.7,62.4,B,11,35.1,17.7,63.8,58,On-time,20,92,18,12,6/04/2025 0:00,376,28/06/2025 0:00,Lab,19,20,Medium Risk,Highly Engaged,19/04/2025 0:00,19/04/2025 0:00,25,25,28/06/2025 15:59,MOD-IN2201,Pass,30,
Rashmi Kumara,ST1035,Female,ITM,3.59,Weak,Software Engineering,3,30,70,28.5,64.2,92.7,A+,21,68.7,28.5,91.7,38,On-time,25,19,35,9,23/03/2025 0:00,79,29/05/2025 0:00,Presentation,22,30,Low Risk,Moderate Learner,11/05/2025 0:00,11/05/2025 0:00,27,30,29/05/2025 18:15,MOD-IN2201,Pass,30,Requirements Engineering
Dilrukshi Edirisinghe,ST1036,Female,ITM,3.04,Good,Software Engineering,3,30,70,14.0,17.6,31.6,F,16,53.7,14.0,25.1,82,Late,7,33,17,12,15/04/2025 0:00,298,29/07/2025 0:00,Presentation,17,30,Medium Risk,At-Risk Learner,29/05/2025 0:00,1/06/2025 0:00,28,30,29/07/2025 19:20,MOD-IN2201,Fail,30,"Software Maintenance & Evolution, Software Testing"
Dulani Herath,ST1037,Female,IT,2.76,Average,Software Engineering,3,30,70,29.4,20.9,50.3,C+,29,97.7,29.4,29.8,66,On-time,18,27,30,0,6/04/2025 0:00,193,10/06/2025 0:00,Practical,8,30,Medium Risk,Passive Learner,14/07/2025 0:00,19/07/2025 0:00,5,28,10/06/2025 16:36,MOD-IN2201,Pass,30,"Managing Software Projects, Software Maintenance & Evolution"
Malini Gamlath,ST1038,Female,IT,2.36,Weak,Software Engineering,3,30,70,7.8,27.2,35.0,F,12,40.2,7.8,38.9,87,On-time,4,83,10,6,6/04/2025 0:00,415,16/04/2025 0:00,Practical,27,50,High Risk,At-Risk Learner,10/05/2025 0:00,13/05/2025 0:00,28,28,16/04/2025 20:03,MOD-IN2201,Fail,30,UI/UX Design
Hiruni Fernando,ST1039,Female,IT,3.42,Weak,Software Engineering,3,30,70,18.9,17.1,36.0,F,21,70.1,18.9,24.4,90,Late,3,49,16,1,6/04/2025 0:00,203,11/07/2025 0:00,Final Exam,18,30,Medium Risk,Passive Learner,1/07/2025 0:00,5/07/2025 0:00,13,28,11/07/2025 17:36,MOD-IN2201,Fail,30,"Software Development Models, Agile & Scrum"
Chamal Karunathilake,ST1040,Male,IT,1.95,Good,Software Engineering,3,30,70,9.2,40.9,50.1,C+,15,51.5,9.2,58.4,88,On-time,14,74,30,4,23/03/2025 0:00,430,23/04/2025 0:00,Midterm,48,50,Medium Risk,At-Risk Learner,18/06/2025 0:00,18/06/2025 0:00,22,25,23/04/2025 9:17,MOD-IN2201,Pass,30,Software Engineering Methods
Tilan Kumara,ST1041,Male,IT,2.71,Average,Software Engineering,3,30,70,9.5,11.0,20.5,F,20,66.9,9.5,15.7,55,On-time,11,31,35,14,15/01/2025 0:00,359,4/04/2025 0:00,Lab,5,50,High Risk,At-Risk Learner,8/04/2025 0:00,8/04/2025 0:00,14,25,4/04/2025 22:09,MOD-IN2201,Fail,30,Software Measurement
Jayani Nanayakkara,ST1042,Female,ITM,1.82,Average,Software Engineering,3,30,70,22.6,9.4,32.0,F,11,36.1,22.6,13.5,93,On-time,19,71,30,4,15/01/2025 0:00,395,21/01/2025 0:00,Practical,17,20,High Risk,Highly Engaged,19/02/2025 0:00,20/02/2025 0:00,25,27,21/01/2025 15:41,MOD-IN2201,Fail,30,UI/UX Design
Dilrukshi Opatha,ST1043,Female,ITM,2.42,Weak,Software Engineering,3,30,70,10.7,64.5,75.2,A,29,97.4,10.7,92.2,28,On-time,12,72,27,2,5/03/2025 0:00,135,18/04/2025 0:00,Quiz,20,50,Medium Risk,Moderate Learner,28/05/2025 0:00,25/05/2025 0:00,20,27,18/04/2025 18:22,MOD-IN2201,Pass,30,Agile & Scrum
Ruchira Wickramasinghe,ST1044,Male,ITM,3.71,Weak,Software Engineering,3,30,70,9.3,50.8,60.1,B,7,22.3,9.3,72.6,92,Late,9,29,25,12,15/04/2025 0:00,376,15/05/2025 0:00,Final Exam,43,50,Medium Risk,At-Risk Learner,1/07/2025 0:00,4/07/2025 0:00,14,28,15/05/2025 17:09,MOD-IN2201,Pass,30,"Software Engineering Methods, Software Development Models"
Lasith Fonseka,ST1045,Male,IT,2.08,Good,Software Engineering,3,30,70,29.7,65.1,94.8,A+,26,88.1,29.7,93.0,44,Late,24,100,15,4,6/02/2025 0:00,260,15/04/2025 0:00,Assignment,28,30,Low Risk,Highly Engaged,19/03/2025 0:00,24/03/2025 0:00,4,27,15/04/2025 19:07,MOD-IN2201,Pass,30,"Software Measurement, General"
Hansika Gunasekara,ST1046,Female,IT,2.75,Weak,Software Engineering,3,30,70,6.6,65.7,72.3,A-,28,93.7,6.6,93.8,60,On-time,6,34,22,4,6/02/2025 0:00,134,16/02/2025 0:00,Final Exam,96,100,Medium Risk,Passive Learner,5/03/2025 0:00,7/03/2025 0:00,24,27,16/02/2025 19:49,MOD-IN2201,Pass,30,"Software Development Models, Agile & Scrum"
Yasith Ranawaka,ST1047,Male,IT,2.82,Average,Software Engineering,3,30,70,10.9,18.7,29.6,F,16,52.3,10.9,26.7,82,Late,10,62,24,6,15/04/2025 0:00,427,5/06/2025 0:00,Presentation,97,100,High Risk,At-Risk Learner,10/06/2025 0:00,13/06/2025 0:00,14,28,5/06/2025 20:02,MOD-IN2201,Fail,30,"Requirements Engineering, UI/UX Design"
Jayantha Rambukwella,ST1048,Male,ITM,2.77,Weak,Software Engineering,3,30,70,24.2,64.3,88.5,A+,30,98.7,24.2,91.9,50,On-time,25,15,38,12,27/02/2025 0:00,304,20/03/2025 0:00,Presentation,9,20,Low Risk,Moderate Learner,30/05/2025 0:00,3/06/2025 0:00,18,28,20/03/2025 14:18,MOD-IN2201,Pass,30,Software Engineering Methods
Ishan Jeyarajah,ST1049,Male,IT,2.17,Good,Software Engineering,3,30,70,16.8,60.5,77.3,A,19,63.2,16.8,86.4,51,Late,15,51,31,0,27/02/2025 0:00,131,10/03/2025 0:00,Final Exam,10,50,Medium Risk,Passive Learner,10/04/2025 0:00,8/04/2025 0:00,20,28,10/03/2025 9:45,MOD-IN2201,Pass,30,"Managing Software Projects, Software Maintenance & Evolution"
Yasith Yapa,ST1050,Male,IT,2.61,Good,Software Engineering,3,30,70,13.3,50.8,64.1,B,19,64.7,13.3,72.6,83,On-time,7,28,12,1,15/01/2025 0:00,254,4/04/2025 0:00,Assignment,68,100,Medium Risk,Passive Learner,5/02/2025 0:00,2/02/2025 0:00,21,25,4/04/2025 20:16,MOD-IN2201,Pass,30,"Software Measurement, General"
Tharushi Silva,ST1051,Female,IT,3.07,Good,Software Engineering,3,30,70,10.4,11.6,22.0,F,8,26.3,10.4,16.6,70,On-time,9,80,31,6,15/04/2025 0:00,65,26/04/2025 0:00,Final Exam,10,30,High Risk,At-Risk Learner,25/06/2025 0:00,27/06/2025 0:00,25,27,26/04/2025 8:06,MOD-IN2201,Fail,30,UI/UX Design
Eranga Gunawardena,ST1052,Male,ITM,2.57,Average,Software Engineering,3,30,70,17.2,15.5,32.7,F,14,45.5,17.2,22.1,61,On-time,4,64,25,2,6/04/2025 0:00,189,19/04/2025 0:00,Practical,20,20,High Risk,At-Risk Learner,7/05/2025 0:00,4/05/2025 0:00,27,30,19/04/2025 17:46,MOD-IN2201,Fail,30,"Requirements Engineering, UI/UX Design"
Imasha Hapuarachchi,ST1053,Female,IT,3.64,Average,Software Engineering,3,30,70,25.2,59.7,84.9,A,21,69.2,25.2,85.3,55,Late,21,82,22,15,15/01/2025 0:00,292,5/04/2025 0:00,Midterm,30,30,Low Risk,Highly Engaged,28/01/2025 0:00,1/02/2025 0:00,23,28,5/04/2025 20:07,MOD-IN2201,Pass,30,Agile & Scrum
Nimasha Karunathilake,ST1054,Female,IT,2.54,Weak,Software Engineering,3,30,70,19.1,53.0,72.1,A-,21,70.6,19.1,75.7,40,Late,10,18,34,9,23/03/2025 0:00,299,16/04/2025 0:00,Quiz,65,100,Medium Risk,Passive Learner,31/05/2025 0:00,30/05/2025 0:00,25,25,16/04/2025 13:53,MOD-IN2201,Pass,30,Managing Software Projects
Gihan Sivarajah,ST1055,Male,ITM,3.16,Weak,Software Engineering,3,30,70,23.3,26.7,50.0,C+,14,46.5,23.3,38.2,94,On-time,25,17,37,9,6/04/2025 0:00,329,25/04/2025 0:00,Assignment,85,100,Medium Risk,Highly Engaged,19/05/2025 0:00,17/05/2025 0:00,21,26,25/04/2025 12:53,MOD-IN2201,Pass,30,Software Maintenance & Evolution
Oshadi Hapuarachchi,ST1056,Female,IT,2.03,Weak,Software Engineering,3,30,70,11.7,34.6,46.3,C,26,87.8,11.7,49.5,64,On-time,10,62,36,15,27/02/2025 0:00,489,10/03/2025 0:00,Assignment,69,100,Medium Risk,Moderate Learner,28/05/2025 0:00,28/05/2025 0:00,8,26,10/03/2025 15:32,MOD-IN2201,Pass,30,Software Development Models
Lakmini Udagedara,ST1057,Female,IT,2.46,Average,Software Engineering,3,30,70,26.6,15.1,41.7,F,8,27.8,26.6,21.6,65,Late,8,14,20,12,5/03/2025 0:00,405,11/06/2025 0:00,Quiz,45,50,High Risk,At-Risk Learner,11/03/2025 0:00,16/03/2025 0:00,10,27,11/06/2025 18:47,MOD-IN2201,Fail,30,"Software Engineering Methods, Software Development Models"
Kavinda Rajapaksha,ST1058,Male,ITM,2.38,Average,Software Engineering,3,30,70,19.3,14.3,33.6,F,9,29.3,19.3,20.5,95,On-time,7,45,25,0,27/02/2025 0:00,358,20/03/2025 0:00,Presentation,39,50,High Risk,At-Risk Learner,21/03/2025 0:00,21/03/2025 0:00,18,25,20/03/2025 9:19,MOD-IN2201,Fail,30,"Requirements Engineering, UI/UX Design"
Gopal Nanayakkara,ST1059,Male,ITM,3.77,Average,Software Engineering,3,30,70,14.5,27.7,42.2,F,8,26.8,14.5,39.6,51,Late,7,100,31,14,15/04/2025 0:00,355,26/04/2025 0:00,Practical,17,100,Medium Risk,Highly Engaged,13/06/2025 0:00,12/06/2025 0:00,18,27,26/04/2025 21:51,MOD-IN2201,Fail,30,Software Testing
Lakmini Fernando,ST1060,Female,IT,3.86,Average,Software Engineering,3,30,70,26.5,27.3,53.8,C+,12,40.4,26.5,39.0,88,On-time,14,33,37,10,15/01/2025 0:00,443,3/05/2025 0:00,Midterm,21,30,Medium Risk,At-Risk Learner,28/02/2025 0:00,4/03/2025 0:00,7,28,3/05/2025 10:18,MOD-IN2201,Pass,30,Software Measurement
Tharaka Yapa,ST1061,Male,IT,3.21,Weak,Software Engineering,3,30,70,15.1,28.2,43.3,F,16,51.7,15.1,40.3,81,Late,9,89,24,5,23/03/2025 0:00,286,15/06/2025 0:00,Midterm,19,100,Medium Risk,At-Risk Learner,15/06/2025 0:00,14/06/2025 0:00,22,30,15/06/2025 18:04,MOD-IN2201,Fail,30,UI/UX Design
Amaya Yapa,ST1062,Female,ITM,1.99,Good,Software Engineering,3,30,70,17.8,46.8,64.6,B,16,52.1,17.8,66.8,37,On-time,23,86,26,12,15/04/2025 0:00,207,8/07/2025 0:00,Presentation,83,100,Medium Risk,Highly Engaged,30/06/2025 0:00,29/06/2025 0:00,22,28,8/07/2025 10:28,MOD-IN2201,Pass,30,Software Engineering Methods
Lasith Liyanage,ST1063,Male,ITM,2.43,Weak,Software Engineering,3,30,70,29.5,31.8,61.3,B,28,92.6,29.5,45.5,42,Late,24,54,18,0,23/03/2025 0:00,353,6/07/2025 0:00,Lab,12,20,Medium Risk,Moderate Learner,29/03/2025 0:00,3/04/2025 0:00,17,30,6/07/2025 13:07,MOD-IN2201,Pass,30,"Agile & Scrum, Requirements Engineering"
Amaya Senanayake,ST1064,Female,ITM,2.67,Good,Software Engineering,3,30,70,15.9,25.1,41.0,F,10,33.7,15.9,35.9,42,On-time,8,81,17,11,6/02/2025 0:00,470,23/02/2025 0:00,Presentation,63,100,High Risk,At-Risk Learner,3/05/2025 0:00,6/05/2025 0:00,29,30,23/02/2025 9:08,MOD-IN2201,Fail,30,Managing Software Projects
Oshadi Munasinghe,ST1065,Female,ITM,2.9,Good,Software Engineering,3,30,70,23.4,49.8,73.2,A-,14,48.1,23.4,71.1,60,On-time,15,87,35,15,23/03/2025 0:00,473,3/06/2025 0:00,Final Exam,93,100,Medium Risk,Highly Engaged,3/05/2025 0:00,30/04/2025 0:00,6,26,3/06/2025 15:45,MOD-IN2201,Pass,30,
Kalani Udagedara,ST1066,Female,IT,1.94,Weak,Software Engineering,3,30,70,7.3,28.3,35.6,F,17,57.3,7.3,40.5,27,On-time,23,91,40,9,5/03/2025 0:00,353,26/03/2025 0:00,Practical,41,50,High Risk,Highly Engaged,17/04/2025 0:00,18/04/2025 0:00,12,25,26/03/2025 8:44,MOD-IN2201,Fail,30,
Thilini Wijesuriya,ST1067,Female,ITM,3.04,Good,Software Engineering,3,30,70,7.8,54.0,61.8,B,23,78.3,7.8,77.1,58,On-time,11,72,27,4,15/01/2025 0:00,298,31/03/2025 0:00,Presentation,16,50,Medium Risk,Passive Learner,8/04/2025 0:00,7/04/2025 0:00,12,26,31/03/2025 19:09,MOD-IN2201,Pass,30,Agile & Scrum
Oshadi Udagedara,ST1068,Female,ITM,3.68,Average,Software Engineering,3,30,70,21.7,50.6,72.3,A-,9,31.5,21.7,72.3,47,On-time,17,62,37,12,15/04/2025 0:00,161,20/07/2025 0:00,Assignment,56,100,Low Risk,Highly Engaged,26/05/2025 0:00,27/05/2025 0:00,19,27,20/07/2025 21:07,MOD-IN2201,Pass,30,Software Measurement
